"propertyLocation_id","props.bedrooms","props.bathrooms","props.price","props.variableData","props.zestimate","props.rentestimate","props.livingArea","props.lotAreaValue","propertyType_id","propertyUnit_id"
87,5,4,613030,"Sold 04/17/2023",601800,3200,3420,8712,1,2
88,5,5,957837,"Sold 04/17/2023",942100,4086,3622,0.512,1,1
89,3,2,310000,"Sold 04/14/2023",308600,1798,1168,10454.4,1,2
90,4,4,718500,"Sold 04/14/2023",715300,3159,3362,1.17,1,1
91,3,3,463000,"Sold 04/14/2023",459600,2321,2250,5227.2,1,2
92,5,3,490000,"Sold 04/14/2023",486400,2594,2958,7840.8,1,2
93,4,2.5,422500,"Sold 04/14/2023",420600,2194,1931,7840.8,1,2
94,5,4,825000,"Sold 04/14/2023",818900,3627,3668,0.38,1,1
95,5,5,599000,"Sold 04/14/2023",599000,2995,3187,7405.2,1,2
96,4,3,422400,"Sold 04/14/2023",431600,2199,1931,3920.4,1,2
97,4,3,465480,"Sold 04/14/2023",460000,2450,2635,8712,1,2
98,5,4,554990,"Sold 04/14/2023",569600,2850,2929,6534,1,2
99,4,3,480000,"Sold 04/13/2023",476300,2180,2059,0.26,1,1
100,5,3,750000,"Sold 04/13/2023",746500,3297,3213,8712,1,2
101,3,3,314990,"Sold 04/13/2023",312500,1849,1573,1742.4,1,2
102,5,3,475165,"Sold 04/13/2023",469100,2495,2619,4791.6,1,2
103,5,3,487415,"Sold 04/13/2023",472100,2495,2619,4791.6,1,2
104,4,3,770000,"Sold 04/12/2023",763900,3385,3338,0.68,1,1
105,4,3,607000,"Sold 04/12/2023",604000,2430,2850,9147.6,1,2
106,3,5,600000,"Sold 04/12/2023",595300,2445,2845,2.83,1,1
107,3,5,122500,"Sold 04/12/2023",121500,1450,2845,0.639990817,1,1
108,3,3,950000,"Sold 04/12/2023",942500,4177,3300,0.46,1,1
109,4,3,465000,"Sold 04/12/2023",464500,2259,2339,4356,1,2
110,4,3,458165,"Sold 04/12/2023",492900,2495,2709,10454.4,1,2
111,6,5,963645,"Sold 04/12/2023",967300,4218,3782,0.476,1,1
112,3,3,470000,"Sold 04/11/2023",467600,2400,2757,0.86,1,1
113,5,4,544825,"Sold 04/11/2023",544800,2900,3037,0.28,1,1
114,3,3,450000,"Sold 04/10/2023",446200,2437,2050,1.59,1,1
115,5,3,625000,"Sold 04/10/2023",619900,2550,2978,7840.8,1,2
116,2,3,620000,"Sold 04/10/2023",619700,2432,2668,8581.32,1,2
117,6,6,900000,"Sold 04/10/2023",892400,3957,4314,0.439,1,1
118,4,3,373000,"Sold 04/07/2023",380000,2280,2448,10759.32,1,2
119,3,3,409000,"Sold 04/07/2023",406100,2100,1844,3920.4,1,2
120,4,3,550000,"Sold 04/06/2023",550300,2259,2365,0.93,1,1
121,4,3,460000,"Sold 04/06/2023",456200,2299,2264,7405.2,1,2
122,4,5,931632,"Sold 04/06/2023",456200,4202,3950,0.75,1,1
123,3,3,409000,"Sold 04/06/2023",405100,2199,3950,3920,1,2
124,5,5,875000,"Sold 04/06/2023",863000,3999,3661,0.598,1,1
125,3,3,647000,"Sold 04/05/2023",640600,2334,2489,2.42,1,1
126,4,3,670000,"Sold 04/05/2023",663400,2947,3612,0.67,1,1
127,5,3,565000,"Sold 04/05/2023",559400,2525,2987,10018.8,1,2
128,5,5,1450000,"Sold 04/05/2023",1723700,7788,6305,1,1,1
129,4,3,492500,"Sold 04/05/2023",488000,2325,2396,6534,1,2
130,3,3,371000,"Sold 04/05/2023",370900,2203,2225,6969.6,1,2
131,5,4,1055000,"Sold 04/05/2023",1044300,4640,3617,0.34,1,1
132,5,4,553201,"Sold 04/05/2023",533800,2589,2839,6098.4,1,2
133,3,3,495000,"Sold 04/04/2023",490000,2065,1796,2.32,1,1
134,5,3,419000,"Sold 04/04/2023",414800,2325,2350,0.38,1,1
135,4,3,487000,"Sold 04/04/2023",490000,2225,2364,0.25,1,1
136,4,4,474900,"Sold 04/04/2023",470100,2495,2933,8276.4,1,2
137,3,3,416000,"Sold 04/04/2023",411800,2299,2267,9147.6,1,2
138,5,5,755000,"Sold 04/04/2023",747400,3333,3744,0.25,1,1
139,4,3,475000,"Sold 04/04/2023",468900,2350,2250,4791.6,1,2
140,4,3,399900,"Sold 04/04/2023",394700,2160,2029,7274.52,1,2
141,4,1,315000,"Sold 04/03/2023",231600,1982,920,2,1,1
142,2,1,175000,"Sold 03/31/2023",173600,1250,664,6534,1,2
143,3,3,429000,"Sold 03/31/2023",424200,2194,2150,8712,1,2
144,4,3,488000,"Sold 03/31/2023",482600,2516,2728,0.36,1,1
145,3,3,470000,"Sold 03/31/2023",471800,2294,2172,1.03,1,1
146,4,4,1026949,"Sold 03/31/2023",1015600,4518,3123,0.36,1,1
147,3,3,420000,"Sold 03/31/2023",415600,2045,1850,5662.8,1,2
148,4,3,789900,"Sold 03/31/2023",781200,3475,2979,0.36,1,1
149,5,4,517270,"Sold 03/31/2023",517300,2550,2881,0.28,1,1
150,4,5,1328033,"Sold 03/31/2023",1329600,5847,4100,1.8,1,1
151,3,3,525000,"Sold 03/30/2023",519000,2294,2419,1.22,1,1
152,2,2,225000,"Sold 03/30/2023",222400,1849,1479,1.59,1,1
153,2,2,226000,"Sold 03/30/2023",310800,1747,1310,0.409986226,1,1
154,4,3,500000,"Sold 03/30/2023",494300,2570,2760,9147.6,1,2
155,5,4,675000,"Sold 03/30/2023",667300,2965,3385,0.28,1,1
156,4,4,700000,"Sold 03/30/2023",692000,3108,3606,1.6,1,1
157,4,4,1162500,"Sold 03/30/2023",1149300,5096,4320,1.18,1,1
158,2,2,639999,"Sold 03/30/2023",632700,2384,2512,10454.4,1,2
159,4,4,1410693,"Sold 03/30/2023",1394600,6208,4169,1.34,1,1
160,4,4,549990,"Sold 03/30/2023",537000,2749,2838,6969.6,1,2
161,NULL,NULL,500000,"Sold 04/25/2023",NULL,1700,NULL,6098,3,2
162,3,3,435000,"Sold 04/24/2023",433600,2500,1642,4356,1,2
163,3,2,400000,"Sold 04/24/2023",398100,2093,1466,0.46,1,1
164,3,3,340000,"Sold 04/24/2023",338700,2065,2170,8712,1,2
165,3,2,251000,"Sold 04/24/2023",270900,1820,1313,5227.2,1,2
166,3,3,270000,"Sold 04/24/2023",268900,1791,1420,5227.2,1,2
167,3,3,355000,"Sold 04/24/2023",369500,2250,2602,9583.2,1,2
168,3,3,378885,"Sold 04/24/2023",374300,1994,1867,5314.32,2,2
169,2,2,330000,"Sold 04/21/2023",328700,2143,1280,4791.6,1,2
170,3,3,320000,"Sold 04/21/2023",318700,1962,1627,0.29,1,1
171,3,2,205000,"Sold 04/21/2023",189600,1639,1041,9583.2,1,2
172,6,3,386500,"Sold 04/21/2023",384700,2144,2226,0.31,1,1
173,3,2,340000,"Sold 04/21/2023",356500,1794,1129,9147.6,1,2
174,3,2,490000,"Sold 04/21/2023",356500,1700,1129,6098,3,2
175,3,3,324120,"Sold 04/21/2023",324100,1944,1685,3528.36,2,2
176,3,3,345740,"Sold 04/21/2023",345700,1900,1770,2265.12,2,2
177,4,3,489990,"Sold 04/21/2023",345700,2425,2730,6098.4,1,2
178,3,2,285000,"Sold 04/20/2023",345700,1800,1025,0.25,1,1
179,3,3,380000,"Sold 04/20/2023",378400,1940,1694,5662.8,1,2
180,3,3,240000,"Sold 04/20/2023",238800,1599,1140,130.68,2,2
181,4,3,400000,"Sold 04/20/2023",398600,2394,2902,0.25,1,1
182,3,3,265000,"Sold 04/20/2023",264100,1760,1656,1306.8,2,2
183,3,1,375000,"Sold 04/19/2023",373600,1749,1013,9583.2,1,2
184,3,2,309900,"Sold 04/19/2023",308900,1763,1188,10454.4,1,2
185,3,3,360000,"Sold 04/19/2023",357800,1890,1648,6534,1,2
186,4,4,920000,"Sold 04/19/2023",934700,2999,3138,10018.8,1,2
187,4,2.5,330000,"Sold 04/17/2023",392300,2221,2532,6098,1,2
188,3,1,268000,"Sold 04/14/2023",266800,1712,1325,10454.4,1,2
189,3,2,406500,"Sold 04/14/2023",404700,1948,1459,0.26,1,1
190,3,2,190000,"Sold 04/14/2023",284200,1778,1312,8276,1,2
191,3,3,499000,"Sold 04/14/2023",496900,2094,2121,5924.16,1,2
192,5,3,340000,"Sold 04/13/2023",359100,2102,2130,0.32,1,1
193,3,3,390000,"Sold 04/13/2023",387000,2100,1964,4791.6,1,2
194,3,3,642000,"Sold 04/12/2023",639000,2323,1788,0.26,1,1
195,3,2,300000,"Sold 04/12/2023",297700,1774,1214,8712,1,2
196,4,3,330000,"Sold 04/12/2023",327400,2049,1946,7840.8,1,2
197,3,3,315000,"Sold 04/12/2023",331900,1944,1799,5227.2,1,2
198,2,3,250000,"Sold 04/12/2023",261600,1694,1526,1306.8,2,2
199,3,3,295000,"Sold 04/12/2023",292700,1749,1685,1306.8,2,2
200,4,3,305000,"Sold 04/11/2023",303400,1809,1580,1306.8,2,2
201,NULL,NULL,1475000,"Sold 04/10/2023",1462500,6486,0,0.57,7,1
202,3,2,325000,"Sold 04/06/2023",321900,1949,1413,0.47,1,1
203,4,4,475000,"Sold 04/06/2023",470500,2770,3200,0.759986226,1,1
204,3,2,280000,"Sold 04/06/2023",277300,1700,1152,7405.2,1,2
205,3,3,245000,"Sold 04/06/2023",250000,1800,1404,5227.2,1,2
206,4,3,343000,"Sold 04/06/2023",339700,2094,2281,6534,1,2
207,4,3,323000,"Sold 04/05/2023",364100,1994,2100,6969,1,2
208,3,3,555000,"Sold 04/05/2023",549500,3056,1650,4356,1,2
209,4,2,275000,"Sold 04/04/2023",272200,1700,1334,0.3,1,1
210,2,1,449000,"Sold 04/04/2023",444500,1520,745,9147,1,2
211,3,3,250000,"Sold 04/04/2023",247500,1798,1763,871.2,2,2
212,3,3,350000,"Sold 04/04/2023",346500,1933,1759,5227.2,1,2
213,3,3,259900,"Sold 04/04/2023",257300,1694,1350,2178,2,2
214,3,3,898000,"Sold 04/04/2023",890400,1694,3366,9147.6,7,2
215,3,3,440000,"Sold 04/04/2023",530100,1975,1749,4356,1,2
216,3,3,449000,"Sold 04/04/2023",444500,2588,1714,9147.6,2,2
217,3,3,449000,"Sold 04/04/2023",891500,2800,1714,9147.6,2,2
218,3,1,299900,"Sold 04/03/2023",296900,1599,1084,0.81,1,1
219,4,3,340000,"Sold 04/03/2023",365200,2094,2150,6534,1,2
220,4,3,366000,"Sold 04/03/2023",362200,2030,1951,4791.6,1,2
221,3,3,313100,"Sold 04/03/2023",310200,1880,1622,5662.8,1,2
222,3,2,280000,"Sold 04/03/2023",277100,1778,1519,7840.8,1,2
223,3,3,300000,"Sold 03/31/2023",296700,1895,1804,4356,1,2
224,4,3,326000,"Sold 03/31/2023",322400,1793,1487,6098.4,1,2
225,3,3,280000,"Sold 03/31/2023",276900,1625,1371,1306.8,2,2
226,3,3,275000,"Sold 03/31/2023",276900,1749,1371,1306,1,2
227,2,2,383000,"Sold 03/31/2023",378700,1749,1673,435.6,2,2
228,2,3,650000,"Sold 03/31/2023",642800,2268,2717,8712,1,2
229,4,4,375000,"Sold 03/31/2023",383600,2199,2029,1742.4,2,2
230,3,3,325120,"Sold 03/31/2023",321900,1944,1685,4530.24,2,2
231,3,3,320990,"Sold 03/31/2023",329100,1895,1687,2308.68,2,2
232,3,4,343010,"Sold 03/31/2023",337100,1999,1920,6098.4,2,2
233,3,3,389000,"Sold 03/31/2023",390000,1944,1528,4356,1,2
234,3,3,383900,"Sold 03/31/2023",392800,1944,1528,4356,1,2
235,3,3,394990,"Sold 03/31/2023",395000,1849,1528,4356,1,2
236,3,4,324265,"Sold 03/31/2023",328700,1904,1858,1873.08,2,2
237,3,3,450000,"Sold 03/31/2023",459800,1909,2398,4356,1,2
238,4,4,468000,"Sold 03/31/2023",462800,2375,2398,4356,1,2
239,3,1,290000,"Sold 03/30/2023",289900,1546,950,0.36,1,1
240,5,3,355000,"Sold 03/30/2023",351000,2081,1871,0.28,1,1
241,3,2,299450,"Sold 03/30/2023",296100,1788,1314,0.25,1,1
242,3,2,489000,"Sold 03/30/2023",296100,1700,1314,6098,3,2
243,3,3,329880,"Sold 03/30/2023",329900,1900,1770,2308.68,2,2
244,4,4,387000,"Sold 03/30/2023",387000,2294,2075,2613.6,2,2
245,3,3,324508,"Sold 03/30/2023",320800,1839,1573,2570.04,2,2
246,3,3,307513,"Sold 03/30/2023",322700,1700,1601,1742.4,2,2
247,2,2,190000,"Sold 03/29/2023",187800,1250,964,3484.8,2,2
248,4,3,335000,"Sold 03/29/2023",331100,1994,1824,6534,1,2
249,4,3,382000,"Sold 03/29/2023",377600,2140,2428,0.41,1,1
250,3,3,330000,"Sold 03/29/2023",326200,1895,1519,7405.2,1,2
251,3,3,300435,"Sold 03/29/2023",294000,1749,1601,1655.28,2,2
252,2,2,235000,"Sold 03/28/2023",232300,1935,1405,0.42,1,1
253,3,2,252500,"Sold 03/28/2023",311900,1794,1427,8712,1,2
254,4,3,313000,"Sold 03/28/2023",313002,1749,1652,1742.4,2,2
255,3,2,337000,"Sold 03/28/2023",333000,1849,1584,6969.6,1,2
256,3,2,315000,"Sold 03/27/2023",311200,1829,1361,9147.6,1,2
257,3,3,225000,"Sold 03/27/2023",222300,1810,1752,871,2,2
258,4,3,499500,"Sold 03/27/2023",222300,1700,2636,6098,1,2
259,4,3,499175,"Sold 03/27/2023",222300,2425,2636,6098.4,1,2
260,3,3,300000,"Sold 03/27/2023",294700,1749,1601,1655.28,2,2
261,3,3,305000,"Sold 03/27/2023",319100,1804,1601,2570.04,2,2
262,3,3,305000,"Sold 03/27/2023",316400,1800,1601,2178,2,2
263,3,2,520000,"Sold 03/24/2023",513400,2839,2104,0.52,1,1
264,3,2,225000,"Sold 03/24/2023",513400,1709,1167,0.47,1,1
265,3,2,415000,"Sold 03/24/2023",409700,1845,1218,10454.4,1,2
266,3,3,339000,"Sold 03/24/2023",334700,1944,1951,7840.8,1,2
267,3,3,320000,"Sold 03/24/2023",315900,1891,1666,5662.8,1,2
268,4,3,370000,"Sold 03/24/2023",365300,2175,2421,8712,1,2
269,4,3,415000,"Sold 03/24/2023",410000,2375,2558,6969.6,1,2
270,3,3,322000,"Sold 03/24/2023",1900500,8472,1612,4356,1,2
271,4,2,260000,"Sold 03/23/2023",318700,1994,1848,0.7,7,1
272,4,3,324135,"Sold 03/23/2023",388400,1749,2600,6098,1,2
273,2,3,284525,"Sold 03/23/2023",284100,1550,1370,1568.16,2,2
274,3,3,395000,"Sold 03/23/2023",389900,1870,1749,4356,1,2
275,5,2,272000,"Sold 03/22/2023",389900,2100,1377,4356,3,2
276,3,3,635000,"Sold 03/22/2023",626600,2307,1971,0.29,1,1
277,3,3,316500,"Sold 03/22/2023",312300,1949,1653,0.25,1,1
278,3,3,290000,"Sold 03/22/2023",286200,1788,1704,1306.8,2,2
279,3,1,268000,"Sold 03/21/2023",264400,1599,1060,0.41,1,1
280,3,3,284000,"Sold 03/20/2023",280100,1820,1360,4791.6,1,2
281,4,3,410000,"Sold 03/20/2023",404400,2149,2043,9583.2,1,2
282,4,4,369000,"Sold 03/20/2023",368300,2032,1856,1742.4,2,2
283,2,1,300000,"Sold 03/17/2023",295700,1550,780,4791.6,1,2
284,3,3,318370,"Sold 03/17/2023",295700,1870,1685,2918.52,2,2
285,3,1,110000,"Sold 03/16/2023",140100,1998,725,0.3,1,1
286,3,3,459000,"Sold 03/16/2023",452300,2199,2440,1.26,1,1
287,3,3,340000,"Sold 03/16/2023",335000,1995,2272,6534,1,2
288,3,3,340000,"Sold 03/16/2023",335000,1920,1668,5662.8,1,2
289,4,3,365900,"Sold 03/16/2023",361000,1998,2060,9583.2,1,2
290,3,3,299990,"Sold 03/16/2023",290400,1729,1573,1655.28,2,2
291,3,2,264000,"Sold 03/15/2023",260100,1900,1721,1.38,6,1
292,3,2,290000,"Sold 03/15/2023",285700,1754,1257,7840,1,2
293,3,3.5,260000,"Sold 03/15/2023",418200,2191,2672,0.979981635,1,1
294,2,2,276000,"Sold 03/14/2023",437466,1896,1302,0.37,1,1
295,3,1,365000,"Sold 03/14/2023",359500,1739,1040,10018.8,1,2
296,4,3,370000,"Sold 03/14/2023",391300,2100,2159,0.25,1,1
297,4,3,337000,"Sold 03/14/2023",331900,1994,1980,7405.2,1,2
298,3,3,331000,"Sold 03/14/2023",322700,1875,1803,5662.8,1,2
299,5,3,419900,"Sold 03/14/2023",413700,2314,2400,9583.2,1,2
300,3,3,312423,"Sold 03/14/2023",307700,1700,1573,1655.28,2,2
301,3,2,350000,"Sold 03/13/2023",344700,1829,1171,5227.2,1,2
302,3,1,250000,"Sold 03/13/2023",246400,1794,1350,0.479981635,1,1
303,3,2,425000,"Sold 03/10/2023",418200,1949,1325,10454.4,1,2
304,3,1,283000,"Sold 03/10/2023",278700,1575,1016,8712,1,2
305,3,1.5,169000,"Sold 03/10/2023",166300,1949,1764,10454,1,2
306,3,2,215000,"Sold 03/10/2023",211600,1700,1188,6969.6,1,2
307,2,3,240000,"Sold 03/10/2023",236200,1500,1149,871.2,2,2
308,4,2.5,295000,"Sold 03/10/2023",345600,1949,1976,6098,1,2
309,4,3,302000,"Sold 03/10/2023",297500,1891,1610,6534,1,2
310,4,3,252000,"Sold 03/10/2023",297500,1264,1610,4791,3,2
311,3,2,200000,"Sold 03/09/2023",258800,2009,1613,9583.2,1,2
312,3,2,427000,"Sold 03/09/2023",420100,1749,1019,9583.2,1,2
313,4,3,600000,"Sold 03/09/2023",590900,2197,2334,4.99,1,1
314,5,4,360000,"Sold 03/09/2023",354200,2400,2762,10018.8,1,2
315,3,3,266000,"Sold 03/09/2023",262000,1788,1711,871.2,2,2
316,3,1,175000,"Sold 03/08/2023",172100,1599,1275,0.359986226,1,1
317,3,2,280000,"Sold 03/08/2023",300200,1650,1053,6098.4,1,2
318,3,2,290000,"Sold 03/08/2023",285200,1800,1443,7405.2,1,2
319,4,4,1014500,"Sold 05/12/2023",1065006,4689,3073,0.52,1,1
320,3,3,700000,"Sold 05/12/2023",739001,3246,2809,9147.6,1,2
321,5,5,1425000,"Sold 05/12/2023",1450013,6287,4228,0.42,1,1
322,3,3,710000,"Sold 05/12/2023",761200,3331,2548,6621.12,1,2
323,3,4,645000,"Sold 05/11/2023",675000,2594,2607,3310.56,2,2
324,3,3,530000,"Sold 05/10/2023",525003,2350,2430,3049.2,2,2
325,5,4,825000,"Sold 05/09/2023",864600,3488,4056,9147.6,1,2
326,4,3,675000,"Sold 05/08/2023",674600,2495,2536,7840.8,1,2
327,2,2,456000,"Sold 05/08/2023",475003,1900,1356,4268.88,1,2
328,3,3,520710,"Sold 05/08/2023",514400,2250,1990,2613.6,2,2
329,3,3,458000,"Sold 05/05/2023",457600,1999,1556,3484.8,2,2
330,4,3,665000,"Sold 05/05/2023",664400,2724,3056,5662.8,1,2
331,3,4,378000,"Sold 05/05/2023",377700,1949,1780,1306.8,2,2
332,3,4,560000,"Sold 05/04/2023",559300,2500,3166,2178,2,2
333,2,2,555000,"Sold 05/04/2023",555004,2050,1727,5227.2,1,2
334,4,3,770000,"Sold 05/03/2023",769400,3418,2480,0.3,1,1
335,2,2,514000,"Sold 05/03/2023",513200,2250,1955,6534,1,2
336,3,3,601000,"Sold 05/03/2023",599200,2500,2530,8712,1,2
337,4,4,753000,"Sold 05/03/2023",751600,3289,3218,5662.8,1,2
338,2,2,510000,"Sold 05/03/2023",510004,2149,1420,4356,1,2
339,5,5,1300000,"Sold 05/03/2023",1298100,4955,4396,0.3,1,1
340,5,6,1075000,"Sold 05/02/2023",1074400,3940,5143,5227.2,1,2
341,6,6,2000000,"Sold 05/02/2023",1996500,8062,5237,0.61,1,1
342,5,8,2228235,"Sold 05/02/2023",2227900,4500,5251,0.483,1,1
343,3,3,565000,"Sold 05/01/2023",564500,2127,1635,5227.2,1,2
344,5,4,1300000,"Sold 05/01/2023",1298900,5241,4569,0.25,1,1
345,4,4,965000,"Sold 05/01/2023",963000,3774,4233,0.29,1,1
346,4,3,531000,"Sold 05/01/2023",529900,2495,2125,4356,1,2
347,3,4,699990,"Sold 05/01/2023",699900,2600,2607,3876.84,2,2
348,3,3,550000,"Sold 04/28/2023",549500,2450,2472,8276.4,1,2
349,2,3,329000,"Sold 04/28/2023",328700,1762,1400,1742.4,2,2
350,3,3,480000,"Sold 04/28/2023",485500,2050,1732,3484.8,1,2
351,4,3,605000,"Sold 04/28/2023",602900,2550,2693,4356,1,2
352,3,4,412000,"Sold 04/28/2023",411600,1941,1787,1306.8,2,2
353,4,4,930000,"Sold 04/28/2023",929900,4333,3121,0.39,1,1
354,5,5,902000,"Sold 04/28/2023",898800,3877,3384,5662,1,2
355,4,5,557000,"Sold 04/28/2023",556200,2628,2619,1742.4,2,2
356,4,5,521000,"Sold 04/28/2023",487300,2570,2619,1742,1,2
357,4,5,890000,"Sold 04/28/2023",487300,1650,2619,7840,3,2
358,3,3,780030,"Sold 04/28/2023",777800,2995,2920,6534,1,2
359,3,3,606000,"Sold 04/28/2023",604700,2495,2381,0,5,2
