props.dateSold,props.propertyType,props.lotAreaValue,props.address,props.variableData.text,props.variableData.type,props.zestimate,props.imgSrc,props.price,props.bedrooms,props.contingentListingType,props.longitude,props.latitude,props.listingStatus,props.zpid,props.rentZestimate,props.daysOnZillow,props.bathrooms,props.livingArea,props.country,props.currency,props.lotAreaUnit,props.hasImage
1683010800000,SINGLE_FAMILY,0.66,"5128 Gatewood Dr, Durham, NC 27712",Sold 05/02/2023,RECENTLY_SOLD,426300,https://photos.zillowstatic.com/fp/60f44ea74dece1a5d4140f431e63c13f-p_e.jpg,425000,3,,-78.92498,36.085194,RECENTLY_SOLD,50021877,2027,-1,2,1903,USA,USD,acres,TRUE
1683010800000,SINGLE_FAMILY,0.354,"106 Accura Ct, Durham, NC 27712",Sold 05/02/2023,RECENTLY_SOLD,526600,https://photos.zillowstatic.com/fp/8cbf01184ea474920901074a80e60bd1-p_e.jpg,525000,3,,-78.94286,36.08323,RECENTLY_SOLD,59714404,2809,-1,3,2204,USA,USD,acres,TRUE
1682924400000,SINGLE_FAMILY,10018.8,"4913 Lazyriver Dr, Durham, NC 27712",Sold 05/01/2023,RECENTLY_SOLD,346200,https://photos.zillowstatic.com/fp/012cc932c76c431b65199a33ab4338ba-p_e.jpg,345000,3,,-78.89149,36.08146,RECENTLY_SOLD,50019965,1849,-1,3,1537,USA,USD,sqft,TRUE
1682924400000,SINGLE_FAMILY,12.97,"513 Mason Rd, Durham, NC 27712",Sold 05/01/2023,RECENTLY_SOLD,1153900,https://photos.zillowstatic.com/fp/b608f336e51f9c104a192596d9b71be3-p_e.jpg,1150000,4,,-78.91794,36.117577,RECENTLY_SOLD,151058822,5341,-1,5,4092,USA,USD,acres,TRUE
1682665200000,SINGLE_FAMILY,0.26,"1902 Yellowwood Ln, Durham, NC 27712",Sold 04/28/2023,RECENTLY_SOLD,539400,https://photos.zillowstatic.com/fp/9aa1740f76ca530d04f837e711a4e83c-p_e.jpg,537000,5,,-78.93841,36.086235,RECENTLY_SOLD,59714478,3399,-1,3,3235,USA,USD,acres,TRUE
1682578800000,SINGLE_FAMILY,7.069995409,"2214 Umstead Rd, Durham, NC 27712",Sold 04/27/2023,RECENTLY_SOLD,484600,https://photos.zillowstatic.com/fp/97e8b75ceb76929aa1aefcc21f6bfbeb-p_e.jpg,225000,2,,-78.95658,36.0776,RECENTLY_SOLD,50021392,1839,-1,2,1200,USA,USD,acres,TRUE
1682578800000,SINGLE_FAMILY,0.42,"529 Devereaux Ln, Durham, NC 27712",Sold 04/27/2023,RECENTLY_SOLD,396900,https://photos.zillowstatic.com/fp/36a64220019478650a2eb572c850c4a1-p_e.jpg,395000,4,,-78.9159,36.093693,RECENTLY_SOLD,50023541,2109,-1,3,1961,USA,USD,acres,TRUE
1682578800000,SINGLE_FAMILY,0.462,"2804 Reynolda Cir, Durham, NC 27712",Sold 04/27/2023,RECENTLY_SOLD,844000,https://photos.zillowstatic.com/fp/e6573ca50b6aa4c4636dd1b58c9d4648-p_e.jpg,840000,5,,-78.93715,36.06856,RECENTLY_SOLD,98195956,4099,-1,6,4477,USA,USD,acres,TRUE
1682578800000,SINGLE_FAMILY,0.36,"608 Rushmore Pl, Durham, NC 27712",Sold 04/27/2023,RECENTLY_SOLD,386900,https://photos.zillowstatic.com/fp/c64687b1204a09cfcae13e6ea8fb8c1e-p_e.jpg,385000,3,,-78.92324,36.09253,RECENTLY_SOLD,151054920,1845,-1,2,1294,USA,USD,acres,TRUE
1682319600000,SINGLE_FAMILY,10018.8,"6 Firethorn Ct, Durham, NC 27712",Sold 04/24/2023,RECENTLY_SOLD,442600,https://photos.zillowstatic.com/fp/7ba66b62b275b943342159912c8a8f26-p_e.jpg,440000,4,,-78.95458,36.062706,RECENTLY_SOLD,50017851,2657,-1,3,2014,USA,USD,sqft,TRUE
1682060400000,SINGLE_FAMILY,10018.8,"1601 Cheshire Bridge Rd, Durham, NC 27712",Sold 04/21/2023,RECENTLY_SOLD,453100,https://photos.zillowstatic.com/fp/ae75c28b02e3b060edfb5ffc816944d6-p_e.jpg,450000,3,,-78.9322,36.088478,RECENTLY_SOLD,50022589,2844,-1,3,2230,USA,USD,sqft,TRUE
1682060400000,SINGLE_FAMILY,10454.4,"12 Ballard Ct, Durham, NC 27712",Sold 04/21/2023,RECENTLY_SOLD,367500,https://photos.zillowstatic.com/fp/b7bc5f98fec740b3b4002cdabec6b2ca-p_e.jpg,364900,3,,-78.92666,36.08888,RECENTLY_SOLD,50022632,1800,-1,3,1542,USA,USD,sqft,TRUE
1682060400000,SINGLE_FAMILY,0.44,"119 Belk St, Durham, NC 27712",Sold 04/21/2023,RECENTLY_SOLD,367500,https://photos.zillowstatic.com/fp/4aded39ee6bdc09d3871173c05cf0270-p_e.jpg,365000,4,,-78.908745,36.111526,RECENTLY_SOLD,50025319,1924,-1,2,1863,USA,USD,acres,TRUE
1681974000000,SINGLE_FAMILY,0.47,"1317 Briardale Ln, Durham, NC 27712",Sold 04/20/2023,RECENTLY_SOLD,579200,https://photos.zillowstatic.com/fp/63c90ad143a9ca3d492bc9640fc236cd-p_e.jpg,575000,5,,-78.88362,36.08879,RECENTLY_SOLD,50022173,2450,-1,3,2629,USA,USD,acres,TRUE
1681887600000,SINGLE_FAMILY,9757.44,"4809 Lazyriver Dr, Durham, NC 27712",Sold 04/19/2023,RECENTLY_SOLD,352700,https://photos.zillowstatic.com/fp/3ee0422af6acd88839354ddd99201620-p_e.jpg,350000,3,,-78.89029,36.07967,RECENTLY_SOLD,50019956,1825,-1,3,1504,USA,USD,sqft,TRUE
1681887600000,SINGLE_FAMILY,0.35,"4214 Lazyriver Dr, Durham, NC 27712",Sold 04/19/2023,RECENTLY_SOLD,419300,https://photos.zillowstatic.com/fp/91cbb3b40d58e8f3ea88309e1be12e30-p_e.jpg,387000,4,,-78.89377,36.078594,PENDING,50019974,2145,-1,3,2088,USA,USD,acres,TRUE
1681801200000,SINGLE_FAMILY,4007,"15 Indigo Creek Trl, Durham, NC 27712",Sold 04/18/2023,RECENTLY_SOLD,423300,https://photos.zillowstatic.com/fp/0d15168c4d6521eea09bfc3da4c304ba-p_e.jpg,420000,4,,-78.94919,36.074314,RECENTLY_SOLD,50021507,2566,-1,2,1974,USA,USD,sqft,TRUE
1681714800000,SINGLE_FAMILY,0.95,"1717 Haddington Dr, Durham, NC 27712",Sold 04/17/2023,RECENTLY_SOLD,554600,https://photos.zillowstatic.com/fp/353443982ec904c3b44f971fa3527250-p_e.jpg,550000,3,,-78.86004,36.13037,RECENTLY_SOLD,50027625,2100,-1,2,2279,USA,USD,acres,TRUE
1681455600000,SINGLE_FAMILY,0.87,"2 Daile Ct, Durham, NC 27712",Sold 04/14/2023,RECENTLY_SOLD,494600,https://photos.zillowstatic.com/fp/8e30975845a193f4a2e626d3e991114c-p_e.jpg,490000,3,,-78.95888,36.043034,RECENTLY_SOLD,50015514,2650,-1,3,2079,USA,USD,acres,TRUE
1681455600000,SINGLE_FAMILY,0.583,"115 Pawnee Ct, Durham, NC 27712",Sold 04/14/2023,RECENTLY_SOLD,413800,https://photos.zillowstatic.com/fp/70fe905b8e347dd1f94e1ff4040c5528-p_e.jpg,410000,3,,-78.90162,36.102978,RECENTLY_SOLD,50024129,2100,-1,2,2559,USA,USD,acres,TRUE
1681369200000,SINGLE_FAMILY,0.37,"3 Biltmore Pl, Durham, NC 27712",Sold 04/13/2023,RECENTLY_SOLD,343300,https://photos.zillowstatic.com/fp/94beede806214c16aed6f63308099879-p_e.jpg,340000,3,,-78.91681,36.090744,RECENTLY_SOLD,50023485,1800,-1,2,1469,USA,USD,acres,TRUE
1681282800000,SINGLE_FAMILY,0.46,"4817 Kendridge Dr, Durham, NC 27712",Sold 04/12/2023,RECENTLY_SOLD,328300,https://photos.zillowstatic.com/fp/994ec24faad532e5bdebdfb42cc2819d-p_e.jpg,325000,3,,-78.93523,36.078217,RECENTLY_SOLD,50021556,1949,-1,2,1718,USA,USD,acres,TRUE
1681282800000,SINGLE_FAMILY,10454.4,"112 River Run Rd, Durham, NC 27712",Sold 04/12/2023,RECENTLY_SOLD,737300,https://photos.zillowstatic.com/fp/a93a066c3a87aac46618bf958c96b56e-p_e.jpg,730000,4,,-78.95382,36.059044,RECENTLY_SOLD,98193521,3580,-1,4,3397,USA,USD,sqft,TRUE
1681196400000,SINGLE_FAMILY,0.378,"5021 Stephens Ln, Durham, NC 27712",Sold 04/11/2023,RECENTLY_SOLD,485000,https://photos.zillowstatic.com/fp/ee5d78fc6ff6ffce41b0012ae182ad03-p_e.jpg,472000,3,,-78.89774,36.08416,RECENTLY_SOLD,50019848,2149,-1,3,2635,USA,USD,acres,TRUE
1681196400000,SINGLE_FAMILY,10149,"5058 McKittrick Ln, Durham, NC 27712",Sold 04/11/2023,RECENTLY_SOLD,499300,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.081321716308594,-78.9172134399414&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=g4wXPOOA6oRLZ2xmYcpo_K8gLyg=",500,5,,-78.91721,36.08132,RECENTLY_SOLD,98214800,3258,-1,3,3384,USA,USD,sqft,
1680764400000,SINGLE_FAMILY,0.459,"1618 Mohegan Dr, Durham, NC 27712",Sold 04/06/2023,RECENTLY_SOLD,404900,https://photos.zillowstatic.com/fp/2893812be9ff8d339c916c6d6e719374-p_e.jpg,400000,3,,-78.94159,36.080574,RECENTLY_SOLD,50021662,2686,-1,3,2353,USA,USD,acres,TRUE
1680764400000,SINGLE_FAMILY,8276.4,"802 Latta Cir, Durham, NC 27712",Sold 04/06/2023,RECENTLY_SOLD,379600,https://photos.zillowstatic.com/fp/94c4c60b6db8e18676a7c320706170f2-p_e.jpg,375000,3,,-78.93062,36.07977,RECENTLY_SOLD,59714278,1825,-1,2,1627,USA,USD,sqft,TRUE
1680678000000,SINGLE_FAMILY,0.497979798,"5832 Ridgeview Rd, Durham, NC 27712",Sold 04/05/2023,RECENTLY_SOLD,305100,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.10618591308594,-78.916015625&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=k-dmetrG0ZSsp_BoOAK6HcBdtuI=",3500,3,,-78.916016,36.106186,RECENTLY_SOLD,50024277,1840,-1,2,1499,USA,USD,acres,
1680678000000,SINGLE_FAMILY,5183.64,"9 Whittier Way, Durham, NC 27712",Sold 04/05/2023,RECENTLY_SOLD,344300,https://photos.zillowstatic.com/fp/fbcd8b425f054f45850e6a801c3c1329-p_e.jpg,340000,3,,-78.931694,36.07986,RECENTLY_SOLD,59714297,1700,-1,2,1234,USA,USD,sqft,TRUE
1680591600000,SINGLE_FAMILY,0.72,"5715 Russell Rd, Durham, NC 27712",Sold 04/04/2023,RECENTLY_SOLD,344400,https://photos.zillowstatic.com/fp/b357213f85012cab879ab3b03b3b82e7-p_e.jpg,340000,3,,-78.95408,36.08756,RECENTLY_SOLD,50023146,2668,-1,2,2308,USA,USD,acres,TRUE
1680246000000,SINGLE_FAMILY,0.69,"704 Wendy Way, Durham, NC 27712",Sold 03/31/2023,RECENTLY_SOLD,354900,https://photos.zillowstatic.com/fp/b39a4b77921d8dac558c1f72ae9a799b-p_e.jpg,350000,3,,-78.923676,36.108295,RECENTLY_SOLD,50024439,1834,-1,2,1473,USA,USD,acres,TRUE
1680246000000,SINGLE_FAMILY,2.01,"6722 Windover Dr, Durham, NC 27712",Sold 03/31/2023,RECENTLY_SOLD,346800,https://photos.zillowstatic.com/fp/47316c096dda55dd39487119017b345f-p_e.jpg,342000,3,,-78.93774,36.126144,RECENTLY_SOLD,50025530,1947,-1,2,1766,USA,USD,acres,TRUE
1680159600000,SINGLE_FAMILY,0.293,"1114 E Oak Dr, Durham, NC 27712",Sold 03/30/2023,RECENTLY_SOLD,375300,https://photos.zillowstatic.com/fp/847fd199832495e02b5155d6da58b31a-p_e.jpg,369900,2,,-78.962234,36.044884,RECENTLY_SOLD,50017314,1919,-1,2,1117,USA,USD,acres,TRUE
1680159600000,SINGLE_FAMILY,0.32,"4 Dunnhaven Ct, Durham, NC 27712",Sold 03/30/2023,RECENTLY_SOLD,431100,https://photos.zillowstatic.com/fp/e86e45a35336347a32b646d8195155e7-p_e.jpg,425000,4,,-78.89212,36.086464,RECENTLY_SOLD,50020253,2262,-1,3,2385,USA,USD,acres,TRUE
1680159600000,SINGLE_FAMILY,0.735,"5610 Centennial Dr, Durham, NC 27712",Sold 03/30/2023,RECENTLY_SOLD,380400,https://photos.zillowstatic.com/fp/cf791340ab3a2538abe2d39e363d8253-p_e.jpg,375000,3,,-78.94111,36.09679,RECENTLY_SOLD,50023243,1841,-1,3,1456,USA,USD,acres,TRUE
1680159600000,SINGLE_FAMILY,3.57,"306 Barclay Rd, Durham, NC 27712",Sold 03/30/2023,RECENTLY_SOLD,476600,https://photos.zillowstatic.com/fp/d45c713802dc85f4c1494a8a580d2ac2-p_e.jpg,470000,3,,-78.90084,36.097225,RECENTLY_SOLD,50023693,2269,-1,3,2660,USA,USD,acres,TRUE
1680159600000,SINGLE_FAMILY,3.334,"1703 Milton Rd, Durham, NC 27712",Sold 03/30/2023,RECENTLY_SOLD,775900,https://photos.zillowstatic.com/fp/2644796837c9d9ba1c2e5306bf34125b-p_e.jpg,765000,4,,-78.92112,36.109787,RECENTLY_SOLD,338384761,3768,-1,3,2867,USA,USD,acres,TRUE
1680073200000,SINGLE_FAMILY,0.46,"1300 Briardale Ln, Durham, NC 27712",Sold 03/29/2023,RECENTLY_SOLD,461600,https://photos.zillowstatic.com/fp/b833bfd8d7ae6d7e76cd83447873df18-p_e.jpg,455000,4,,-78.88499,36.088043,RECENTLY_SOLD,50022111,2145,-1,3,2135,USA,USD,acres,TRUE
1680073200000,SINGLE_FAMILY,0.45,"215 Galverston Dr, Durham, NC 27712",Sold 03/29/2023,RECENTLY_SOLD,322600,https://photos.zillowstatic.com/fp/f890577bac8e120b1f83c03c24384900-p_e.jpg,290000,3,,-78.90686,36.1028,RECENTLY_SOLD,50024236,1575,-1,2,1190,USA,USD,acres,TRUE
1679641200000,SINGLE_FAMILY,10454.4,"4715 Shadebush Dr, Durham, NC 27712",Sold 03/24/2023,RECENTLY_SOLD,396000,https://photos.zillowstatic.com/fp/e5419a76f055c4caf356fe6445f929c0-p_e.jpg,389800,3,,-78.89131,36.07813,RECENTLY_SOLD,50019988,1954,-1,3,1903,USA,USD,sqft,TRUE
1679554800000,SINGLE_FAMILY,0.95,"6010 Kelvin Dr, Durham, NC 27712",Sold 03/23/2023,RECENTLY_SOLD,281400,https://photos.zillowstatic.com/fp/e33e384b9cce2b15c3290644086674eb-p_e.jpg,350000,3,,-78.95817,36.09362,RECENTLY_SOLD,50023085,1919,-1,2,1614,USA,USD,acres,TRUE
1679468400000,SINGLE_FAMILY,10062.36,"6 Arrowwood Ct, Durham, NC 27712",Sold 03/22/2023,RECENTLY_SOLD,459100,https://photos.zillowstatic.com/fp/d36e67b8373405c142cc243a6a19afc4-p_e.jpg,452000,4,,-78.85237,36.129402,RECENTLY_SOLD,50027848,2394,-1,3,2407,USA,USD,sqft,TRUE
1679468400000,SINGLE_FAMILY,10018,"3208 Pump Station Ln, Durham, NC 27712",Sold 03/22/2023,RECENTLY_SOLD,791200,https://photos.zillowstatic.com/fp/8a75cf2e091821d373be4fd43d5fd837-p_e.jpg,779000,4,,-78.95543,36.06059,RECENTLY_SOLD,87750334,3845,-1,4,3066,USA,USD,sqft,TRUE
1679382000000,SINGLE_FAMILY,0.52,"1526 Goodwin Rd, Durham, NC 27712",Sold 03/21/2023,RECENTLY_SOLD,400300,https://photos.zillowstatic.com/fp/9be618e0317ac917d65dd34525e779ce-p_e.jpg,394000,3,,-78.877846,36.08747,RECENTLY_SOLD,50022203,1898,-1,2,1620,USA,USD,acres,TRUE
1679036400000,SINGLE_FAMILY,0.46,"5027 Autumn Dr, Durham, NC 27712",Sold 03/17/2023,RECENTLY_SOLD,325300,https://photos.zillowstatic.com/fp/55ac3a32e84128f9adc4cf12dad1a36f-p_e.jpg,320000,3,,-78.92892,36.082417,RECENTLY_SOLD,50021771,1849,-1,2,1493,USA,USD,acres,TRUE
1679036400000,SINGLE_FAMILY,0.4699954086,"5301 Memory Ln, Durham, NC 27712",Sold 03/17/2023,RECENTLY_SOLD,391400,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.08549880981445,-78.93173217773438&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=MHvhatozOXyLpuaf1pmzd3VxNwY=",385000,3,,-78.93173,36.0855,RECENTLY_SOLD,50021830,1999,-1,2,1848,USA,USD,acres,
1678950000000,SINGLE_FAMILY,0.9,"1415 Torredge Rd, Durham, NC 27712",Sold 03/16/2023,RECENTLY_SOLD,200000,https://photos.zillowstatic.com/fp/0f3a73a17389774153e6eb2e0aabc847-p_e.jpg,215000,3,,-78.87726,36.099644,RECENTLY_SOLD,50023820,1500,-1,2,1099,USA,USD,acres,TRUE
1678950000000,SINGLE_FAMILY,0.5,"5800 Claremore Dr, Durham, NC 27712",Sold 03/16/2023,RECENTLY_SOLD,315100,https://photos.zillowstatic.com/fp/b9f280ed9a4adb141ab1df741cb03639-p_e.jpg,310000,3,,-78.867584,36.100998,RECENTLY_SOLD,50023877,1550,-1,2,1208,USA,USD,acres,TRUE
1678950000000,SINGLE_FAMILY,6098.4,"409 Birchrun Dr, Durham, NC 27712",Sold 03/16/2023,RECENTLY_SOLD,401600,https://photos.zillowstatic.com/fp/11e4ae258863fb33818fbcf9c4a5a811-p_e.jpg,395000,4,,-78.91645,36.09598,RECENTLY_SOLD,87753253,2269,-1,3,2407,USA,USD,sqft,TRUE
1678863600000,SINGLE_FAMILY,0.25,"19 Scarlet Oak Ct, Durham, NC 27712",Sold 03/15/2023,RECENTLY_SOLD,488100,https://photos.zillowstatic.com/fp/2b5d68aba0fd106956933a99e4d8ebc5-p_e.jpg,472500,4,,-78.85298,36.128223,RECENTLY_SOLD,59714685,2450,-1,4,2357,USA,USD,acres,TRUE
1678777200000,SINGLE_FAMILY,0.77,"5005 Heritage Dr, Durham, NC 27712",Sold 03/14/2023,RECENTLY_SOLD,381700,https://photos.zillowstatic.com/fp/5f4fc48f668d9a64345f8e25de9eaba9-p_e.jpg,375000,4,,-78.94411,36.080246,RECENTLY_SOLD,50021649,2725,-1,2,2522,USA,USD,acres,TRUE
1678435200000,SINGLE_FAMILY,0.57,"2809 Green Lane Dr, Durham, NC 27712",Sold 03/10/2023,RECENTLY_SOLD,534400,https://photos.zillowstatic.com/fp/3cd48ed0695832698b3e411400007ee2-p_e.jpg,525000,4,,-78.97217,36.07185,RECENTLY_SOLD,50020963,2500,-1,3,1980,USA,USD,acres,TRUE
1678435200000,SINGLE_FAMILY,1.095982553,"706 Snow Hill Rd, Durham, NC 27712",Sold 03/10/2023,RECENTLY_SOLD,249600,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.10852813720703,-78.89385223388672&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=PWyKYIrlSnQUAbL88_mKV6NVko0=",103000,2,,-78.89385,36.10853,RECENTLY_SOLD,50024005,1650,-1,1.5,1404,USA,USD,acres,
1678435200000,SINGLE_FAMILY,1.839,"7222 Russell Rd, Durham, NC 27712",Sold 03/10/2023,RECENTLY_SOLD,292600,https://photos.zillowstatic.com/fp/7ed97466da2c59d2cb2d4a95d27365f0-p_e.jpg,287500,2,,-78.9459,36.11146,RECENTLY_SOLD,50024460,1791,-1,2,1300,USA,USD,acres,TRUE
1678262400000,SINGLE_FAMILY,5662.8,"10 Breslin Trl, Durham, NC 27712",Sold 03/08/2023,RECENTLY_SOLD,325800,https://photos.zillowstatic.com/fp/5d6b0b8c3fbe3498ab15a37e6abea512-p_e.jpg,320000,2,,-78.93339,36.07888,RECENTLY_SOLD,54482333,1594,-1,2,1177,USA,USD,sqft,TRUE
1678176000000,SINGLE_FAMILY,0.9699954086,"5215 Autumn Dr, Durham, NC 27712",Sold 03/07/2023,RECENTLY_SOLD,376800,https://photos.zillowstatic.com/fp/abb9d0e2c2b19aeaddecc7b4d64e8aa6-p_e.jpg,370000,3,,-78.929054,36.085575,RECENTLY_SOLD,50021825,2318,-1,2,1950,USA,USD,acres,TRUE
1678089600000,SINGLE_FAMILY,5227.2,"4208 Bluffs Ln, Durham, NC 27712",Sold 03/06/2023,RECENTLY_SOLD,338200,https://photos.zillowstatic.com/fp/a20ea657617c91b1d22ede64b6fac8ef-p_e.jpg,332000,3,,-78.89435,36.08008,RECENTLY_SOLD,50020122,1794,-1,2,1429,USA,USD,sqft,TRUE
1678089600000,SINGLE_FAMILY,0.2709825528,"30 Arrowwood Ct, Durham, NC 27712",Sold 03/06/2023,RECENTLY_SOLD,491900,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.127254486083984,-78.8512191772461&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=E1MYtj6KMy6gMdT0uHzkr5GHang=",345000,3,,-78.85122,36.127254,RECENTLY_SOLD,50027858,3593,-1,2.5,3030,USA,USD,acres,
1678089600000,SINGLE_FAMILY,2.6,"6041 Burgundy Rd, Durham, NC 27712",Sold 03/06/2023,RECENTLY_SOLD,407400,https://photos.zillowstatic.com/fp/17431d6637d4b511c5732d3cc565e646-p_e.jpg,400000,4,,-78.93477,36.108498,RECENTLY_SOLD,80203985,1849,-1,3,1706,USA,USD,acres,TRUE
1677830400000,SINGLE_FAMILY,0.5509871442,"5110 Lansdowne Dr, Durham, NC 27712",Sold 03/03/2023,RECENTLY_SOLD,406900,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.079315185546875,-78.95318603515625&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=gV-CQUkuUwp4K-AkyLRq-kvRHxU=",260000,3,,-78.953186,36.079315,RECENTLY_SOLD,50021369,2740,-1,2.5,2184,USA,USD,acres,
1677830400000,SINGLE_FAMILY,1.682988981,"6415 Parkhaven Pl, Durham, NC 27712",Sold 03/03/2023,RECENTLY_SOLD,356200,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=36.11781311035156,-78.9090805053711&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=-ZAD7WJk7pPrOxonfh33biDX2j4=",330000,4,,-78.90908,36.117813,RECENTLY_SOLD,50025239,2340,-1,3,2446,USA,USD,acres,
1677830400000,SINGLE_FAMILY,10018.8,"1503 Sassafras Hill St, Durham, NC 27712",Sold 03/03/2023,RECENTLY_SOLD,411700,https://photos.zillowstatic.com/fp/c0c0f7522d83daeb910dd253f9e90b10-p_e.jpg,404000,3,,-78.87504,36.102898,RECENTLY_SOLD,98219812,1859,-1,3,1577,USA,USD,sqft,TRUE
1677744000000,SINGLE_FAMILY,5532.12,"8 Siena St, Durham, NC 27712",Sold 03/02/2023,RECENTLY_SOLD,331300,https://photos.zillowstatic.com/fp/78155b94a32ad937d864532f4237a16c-p_e.jpg,325000,2,,-78.93236,36.080925,RECENTLY_SOLD,59714271,1667,-1,2,1208,USA,USD,sqft,TRUE
1677571200000,SINGLE_FAMILY,3.189,"1104 Sandlewood Dr, Durham, NC 27712",Sold 02/28/2023,RECENTLY_SOLD,440400,https://photos.zillowstatic.com/fp/51c636a347dbbc9cd10b3baa422ada65-p_e.jpg,432000,4,,-78.89497,36.10139,RECENTLY_SOLD,50024101,2187,-1,2,2188,USA,USD,acres,TRUE
